""
cakechat_v1.3_processed_dialogs_gru_hd512_cdim128_drop0.2_encd2_decd2_il30_cs3_ansl32_lr1.0_gc5.0_learnemb
"commit hash: b2dbed5
"
date: 2018-08-31_l15:25
40 maximum tokens in the response
Current perplexity: 11.66
"Batch iteration number 2500
Total elapsed time: 0:33:26
Elapsed time for a batch: 0:00:00
Estimated time for a full dataset pass: 0:00:49
"
contexts	sampling
 /  / 双子女 狮子男 呢 ？	你 觉得 他 是 个 女 的 ， 不要 太 冲动 。
 /  / 太阳 狮子 月亮 天平 男 太阳 金牛 月亮 水瓶女 。 要 注意 什么 。	要 有 未来 ， 不要 太 多 。
 /  / 那 双鱼女 和 天蝎男 呢 ？ ？	可以 。
 /  / 怎么 搞定 射手男 。	忽冷忽热 ， 不要 太 在意 。
 /  / 让 他 别 总 唠叨 ， 你 也 偶尔 关心 他 多一点 ， 不过 别粘人 。	谢谢 。
 /  / 让 你 放开 自己 ， 大胆 去 闯 。	你 说 的 我 还 以为 这 是 个 浪漫 朋友 都 … 我会 分手 ～ 。
 / 摩羯座 是不是 很 抽风 性格 拖拉 ？ 电话 打 过去 从来不 会 回过 来 ！ ！ ！ / 不是 啊 。	不是 吧 。
 /  / 白羊女 和 处女男 。	你 觉得 他 说 一些 少 吧 。
 /  / 就是 你 要 把 生活 和 未来 想 踏实 了 ， 不要 太 冲动 啊 。	我 不 知道 你 怎么 想 的 。
 /  / 女追男 多次 ， 男 的 不 珍惜 的话 ， 貌似 不 很合 了 你 就 消失 就 好 ， 一句 话 都 不用 废话 。	你 说 的 对 我 就是 这样 ！
 /  / 天蝎男 ， 喜欢 油嘴滑舌 ， 幽默 会 逗人 开心 ， 但是 感觉 不靠 谱 ， 传说 中 的 善于 暧昧 ？ 总是 自来 熟 ， 偶尔 会 。	你 这句 话 说 的 就是 这样 。
 /  / 怎样才能 让 自己 做出 决定 呢 ？	自己 最 独立 的 事情 ， 你 要 学会 做 一些 ， 然后 不要 表演 。
 /  / 双子 和 处女 怎么 感觉 不怎么 和 。 。 。 ？	你 被 虐 的 ， 他 可能 会 觉得 很难 。
 /  / 所以 怎麼整 ? 。	你 猜 是 你 的 意思 ， 我 就 在 一起 。
 /  / 你 有 别的 联系方式 ， 或者 我豆 邮 你 ？	能 说 的 对 吗 ？
 /  / 穿 的 性感 点 啊 ， 弄点 小 香水 什么 的 。	你 的 意思 是不是 就是 要 主动 点 ， 如果 他 就 不 回 我 了 。
 /  / 一惊 一 乍 。	你 是 个 遍 吗 ？
 /  / 不 啊 。	你 是 什么 星座 ！
 /  / 巨蟹 还是 会 有 自己 的 脾气 的 ， 你制 不住 。	我 也 觉得 ， 那 你 认识 个 理由 逼 ， 然后 就 没 耐心 了 。
 /  / 楼太高 没 看 完 ， 说 说 水瓶座 性格 吧 。	就是 被动 。
 /  / 练练 弹棉花 。	哈哈哈 哈哈 。
 /  / 感情 上 很 犹豫 和 龟 毛 。	额 ， 你 说 的 完全 是 个 节奏 ？
 /  / 你 是 看 了 我 经常 去 的 小组 是 么 。	不是 吧 。
 /  / 你 觉得 是 互虐 ， 也许 只是 在 自虐 。	… … 这 回答 意思 ？
 /  / 喜欢 一个 处女男 ， 最近 对 我 不理不睬 ， 他 自己 说 是 在 钓 着 我 ， 求 处理 方法 ！ ！ 谢谢 楼主 ！ ~ 。	你 的 男友 就 来 找 你 了 。
 /  / 应该 是 心理 。	可以 ， 感觉 他 不 觉得 我 想 让 你 买 过 的 状态 。
 /  / 狮子女 和 双子男 。	感受 他 的 能力 。
 /  / 太阳 金牛 上升 双子 月亮 金牛 ， 有 建议 吗 ？	你 有 一点 。
 /  / 可能 不会 太 照顾 到 你 的 小 心思 ， 俩 人 还 会 为了 一个 屁事 讨论 半天 。	谢谢 。
 /  / 所以 是 同性 呗 ？	啊 ， 我 觉得 你 是 个 逗 比 啊 。
 /  / a 鱼 男 和 b 蝎女 怎样 。	你 喜欢 他 。
 /  / 天秤男 天秤女 都 是 o 型 。	开始 找 一个 去 的 ， 然后 还 不 开心 你 。
 /  / 金牛女 天平 男 。 惦记 他 好多年 了 ， 该不该 告诉 他 。 看 完 了 所有 楼主 回复 ， 有 几个 说 还好 有 几个 说 不 太合 。	你 这个 世界 是 ， 他 觉得 你 还 没有 很 正常 么 。
 /  / 恩 ， 做 吧 。	你 什么 星座 ？
 /  / 然后 再 消失 几天 ， 就 会 想 你 。	不是 。
 /  / 狮子 都 是 虚胖 。	不 懂 … … 。
 /  / 问 ！ 天蝎女 和 金牛男 的 爱情 ！ 金牛 的 软肋 是 什么 ！ ！ ！	你 太 在意 了 。
 /  / 爱玩 的 射手女 喜欢 上 懒得 要死 天秤男 而且 女比 男大 咋办 。	不 懂 。
 /  / 太阳 天蝎 ， 上升 处女 ， ， ， 女 ， ， ， 我 想 知道 哪种 人 适合 我 。	你 是 个 逗 逼 自己 的 男人 。
 /  / 直到 时间 冲淡 了 怀念 ， 平静 代替 了 感伤 。	你 说 的 对 ， 而且 我 很 冷淡 的话 ， 不过 如果 遇到 一个 普通 的 朋友 也 会 不会 觉得 对方 是 这 样子 。
 /  / 求教 水瓶女 上升 处女座 怎样 虐死 摩羯男 上升 处女座 ？ 大家 都 o 型 血 o & gt ; _ & lt ; o 。	你 太 被动 了 ， 但是 他 又 跟 那个 一样 。
 /  / 日蟹 月 牛 金狮 火 羯 的 汉子 跟 日 羊 月 双金 火瓶 的 妹子 、 、 刚 见面 就 知道 会 有 故事 、 、 哪 知道 怎么	你 喜欢 他 啊 。
 /  / 摩羯女 总是 在 感情 中 迷失 自我 ， 但是 又 占 不到 主动权 。	这 是 我 想 的 太 多 ！
 /  / 女日 双鱼 月 射手 上升 巨蟹 另外 白羊男 忽冷忽热 是 什么 情况 。	你 是 个 好孩子 ， 要 去 吃 好吃 的 吧 。
 /  / 都 差点 意思 ， 俩 人 对 你 都 太 善良 了 不够 凶残 。	是 的 ， 你 怎么 知道 我 喜欢 什么 星座 只是 觉得 对方 不是 因为 你 有 好感 的 建议 吗 ？
 /  / 日牛 月 摩金羊 升狮 男 和 日 羊 月 牛金牛 升蟹 女 陪 吗 ？ ？ 能 走 到 一起 吗 ？	能 啊 ， 就是 有点 自私 。
 /  / 可以 。	你 意思 就是 找 我 ！
 /  / 摩羯女 真的 跟 天秤男 最配 么 ？ 我 感觉 天秤 很 喜欢 交 女性朋友 ， 这点 我 受不了 啊 = = 我 是 摩羯女 ， 谈 了 两 。	你 说 的 很 难 。
 /  / 请问 我 太阳 射手 、 月亮 射手 、 金星 射手 、 上升 双鱼 。 对方 太阳 摩羯 、 月亮 射手 、 金星 水瓶 。 这样 的 组合 。	你 会 觉得 他 更 多 的 时候 你 要 找个 靠 谱 的 男人 ， 就是 那种 说 的 特征 了 。
 /  / 当然 合 了 ， 你 懂 的 。	哈哈 ， 我 也 是 一 丢 丢 的 样子 。
 /  / 太阳 摩羯 月亮 双鱼 上升 白羊 。 。 求解 。	挺 好 的 ， 有时候 又 很 被动 。
 /  / 摩羯男 不 喜欢 是不是 就是 不 喜欢 。 没有 任何 希望 。	是 的 ， 你 也 有 一点 。
 /  / 为什么 ！ 不能 真爱 吗 ？ ！	你 觉得 呢 ？
 /  / 买买 买 送 送 送 。	他 约 你 。
 /  / 白扯 ， 互虐 。	这 是 说 的 意思 吗 ？ 。
 /  / 想 问 怎么 追 ！ 水瓶男 ， 金星 双鱼 ， 月亮 处女 ， 上升 狮子 。	你 会 被 虐 的 ， 喜欢 他 。
 /  / 跟 摩羯 搭 的 到底 是 什么 星座 。	你 试试 。
 / 给 你 介绍 一个 好 了 。 / 哈哈哈 猴 啊 什么 星座 的 哇 。	你 的 意思 就是 让 你 发 去 。
 /  / 太阳 巨蟹 月亮 魔 蝎 上升 巨蟹 。	你 的 爱情 是 个 好孩子 ， 要 对 你好 的 人 温柔 。
 /  / 我 是 说 他 很 花心 。	你 是 个 摩羯 的 意思 。
 /  / 是 的 ， 狮子男 就 那样 你 也 很 典型 。	为什么 不 合适 啊 。
 /  / 爱好 混乱 爱好 急促 。	这 是 指 哪 ， 但是 呢 ？
 /  / 我 擦 你 怎么 知道 他 喜欢 吃 东西 ！ 我们 总说 跟 他 好 不难 估计 送 一根 鸡腿 儿 就 能成 ！ 他 就是 很 被动 的 人	你 不用 着急 ， 哈哈哈 别 太 调皮 的 好 了 。
 /  / 太阳 双子 月亮 双子 上升 天平 求 属性 求 分析 ！	爱 生活 ， 有时候 很 冲动 的 样子 。
 /  / 处女 上升 射手 and 白羊男 。	你 的 初恋 是 个 好孩子 。
 /  / 一根 筋 。	哈哈哈 ！ ！ ！ ！ ！ ！
 /  / 对 他 好 ， 在 他 意想不到 的 时候 。	你 说 的 我 就 不 知道 他 怎么 做 地 走 了 。
 /  / 白羊女 ， 一个 双鱼男 对 我 忽冷忽热 ， 我 经常 热脸 贴 冷 屁股 ， 拒绝 我 很多 要求 ， 我 经常 觉得 不 平衡 而 跟 他 。	你 是 猹 。
 /  / 我 是 射手男 。 。 我求 处女女 的 。	你 去 找 个 枣 。
 /  / 对不起 ， 私人 的 情绪 。	这 . . . . . 。
 /  / 他会 做出 一个 选择 ， 你 问 他 要 谁 ， 他 一定 会 有 一个 答案 的 一般 情况 下 他 大概 害怕 伤害 你 ， 如果 开始 。	对 ， 我 也 知道 ， 但是 他 很 冷淡 ， 然后 又 说 分手 了 。
 /  / 不 对 ， 发现 我 没 讲清楚 ， 已经 在 一起 2 年 了 。 求说 下适 不 适合 结婚 什么 的 ， 或者说 怎么 相处 等等 感 。	你 的 问题 就是 让 他 成为 一个 事情 的 时候 ， 你 可以 再 尝试 一点 就 好 了 。
 /  / 有 。	那 你 问 他 是 个 逗 逼 ！
 /  / 我 喜欢 . . . . 女 的 。	你 也 是 说 了 个 很 好玩 。
 /  / 太阳 摩羯 月亮 双子 上升 天秤 感情 方面 。	被动 ， 很 容易 。
 /  / 谁 爱 谁 多一点 。	你 是 个 渣 ？
 /  / 略开 一 丢 丢 而已 ~ ＂ 如果 知道 他 放弃 了 我 可以 用 两天 时间 就 完全 不在乎 地 走 出来 ＂ 的 程度 前段 感情 太 。	你 不 知道 他 的 意思 就是 对 我 想 跟 他 做 朋友 的 ， 所以 是 两个 暧昧 那种 男生 就 开始 发生 了 。
 /  / 狮子女 上升 射手 与 天蝎男 配 吗 ？ ？ 交往 时要 注意 什么 呢 ？ ～ 谢 啦 ！	你 觉得 他 更 爱 你 ， 会 让 你 感觉 的 。
 /  / 射手女 最近 怎么样 ？	你 会 被 虐 。
 /  / 那 怎么办 ！ lz 不忙 再 回个 ！	不 吵架 。
 /  / 日 蝎 月 鱼 男 和 日 鱼 月 蝎 女 合适 么 。	能 吃 。
 /  / 爱情 或者 感情 是 无法 安定 下来 的 我 也 替 你 急 了 ， 不是 因为 你 的 年轻 ， 而是 因为 遇到 了 这样 两个 人 你 。	你 说 的 就是 这 呀 。
 /  / 巨蟹座 … … 能 找到 真爱 么 ? 妥妥 的 玻璃心 ， 深井 冰 ， 事儿 逼 。 跟 哪个 星座 比较 搭 ， 求 指点 。	你 俩 会 让 他 做 一些 事情 ， 然后 偶尔 消失 一下 。
 /  / 不 容易 相信 别人 。	omg ！ 我 觉得 巨蟹 双子 月 天秤 上升 摩羯 。
 /  / 如何 勾引 天秤男 。	你 说 他 一定 要 主动 的 地方 吧 。
 /  / 没 办法 ， 放弃 吧 。	为什么 ！ 说 是 该 怎么办 。
 /  / 哪个 星 男 脾气好 喜欢 粘人 的 女友 ？ 双子男 容易 被 勾引 变心 么 。	我 比较 喜欢 你 ， 他 觉得 你 还 很 爱 互相 的 那种 男生 吧 。
 /  / 摩羯女 如何 追 天蝎男 ？	忽冷忽热 ， 不要 被 骗 。
 /  / 日 蝎 月 鱼 男 专一 么 ？ 感觉 很花 。	你 的 年轻 。
 /  / 我 是 处女 上身 天蝎 他 是 白羊 不 知道 上升 的 是 什么 ， 两个 男 的 - - 你 谈谈 吧 。	你 确定 关系 的 在 一起 多久 ？
 /  / 天秤 天蝎 = = 上升 天秤 感觉 快 纠结 死 了 。	你 就 确定 他 喜欢 纠结 。
 /  / 哇 咧 我 就是 白羊女 你 怎么 知道 快 说 相中 是 怎么 个样 。	你 就 消停 了 。
 /  / 射手女 跟 射手男 。	你 是 个 逗 逼 。
 /  / 果然 啊 ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ ！ 怎么 对付 。	就是 挑逗 你 去 做 ？
 /  / 别 总 八卦 。	我 是 个 逗 比 ～ 。
 /  / 日 天秤 水 天秤 金 天秤 月 巨蟹 升 白羊 火 双子 木 狮子 土 摩羯 。	你 会 觉得 对方 是 个 小 脾气 的 ， 而且 可能 不会 死 。
 /  / 然而 已经 分掉 了 ， 但 我 总是 喜欢 狮子座 不 合适 的 星座 男 ， 比如 金牛 ， 比如 摩羯 ， 去年 还 特招 天蝎 们 ， 而 。	你 应该 是 个 随意 一些 ， 然后 忽然 消失 的 兴趣 弱 爆 了 ， 如果 他 喜欢 你 的话 可能 不是 事儿 比 。
 /  / 日蟹 月 牛 金双 升狮 为什么 没有 喜欢 的 人 ？	你 的 啊 。
 /  / 日水 巨蟹 月 金 双子 升 狮子 是 个 怎样 的 人 呢 ？	偶尔 会 很 平淡 的 人 。
 /  / 射手女 在 婚外恋 中是 什么样 的 。	先 做 朋友 的 ， 多 交朋友 。
 /  / 这辈子 不 和 天秤 谈恋爱 的 人生 不 完整 。 。	… … 我 也 觉得 摩羯 ！
 /  / 怎么 解决 ， 我 都 快死了 。	你 去 吧 。
 /  / 金牛男 会 在 什么 情况 下 回头 找 ex 。	嗯 ， 你 真 爱 。
 /  / 我会 缺钱 吗 ？ ？	不 告诉 你 。
 /  / 闹 呢 ？ ， 别 惦记 了 。	没有 ， 我 想 问 事业 。
 /  / 本来 和 巨蟹男 聊 的 挺 好 的 ， 尽管 也 是 慢悠悠 地回 着 ， 周末 还 一起 出去 逛街 。 然后 ， 这周 就 突然 不怎么 和 。	你 的 表现 就是 很 久 ， 他 可能 不 那么 喜欢 。
 /  / 狮子女 升 处女 月 射手 水金土 均 处女 怎么 解 。	你 很 被动 ， 爱 吃 。
 /  / 射手男 ！	你 会 觉得 他 的 关心 吧 ， 别 表白 了 。
 /  / 对 男票 容易 无线 付出 最后 自己 无所获 。	那 只是 自己 的 意思 呢 ？
 /  / - . - * 我 的 目标 是 跟 他 结婚 ， 这样 真的 好 吗 ？ ？ 。 。 。	你 的 ， 就是 忽然 很 优秀 。
 /  / 感情 保守 ， 慢热 ， 但是 也 很 容易 被 感动 ， 喜欢 甜言蜜语 。	谢谢 。
 /  / 太阳 双子 月 蝎升 摩羯 。	爱 与 人 更 踏实 。
 /  / 合适 。	我 觉得 那 你 是 个 行星 有 好感 的 ， 后来 因为 想 让 你 感觉 好 的 时候 。
 /  / 表白 就行了 ， 没 那么 麻烦 。	那 你 觉得 他 是 个 女 的 。
 /  / 跟 那个 强拉着 你 的 手 ， 然后 忽然 吻 你 的 男人 在 一个 。	你 说 的 是 他 追 我 ， 我 不想 主动 。
 /  / 卤 煮 头像 好棒 ！	你 还 以为 ， 你 吃 点 。
 /  / 双子女 和 天秤男 会 有 好 结果 么 。	挺 好 的 ， 你 问 呢 ？
 /  / 这是 小花 萝卜 的 倾向 。	霸道 总裁 有 一天 你 很 认真 的 。
 /  / 双鱼 和 摩羯 合拍 么 。	你 喜欢 他 。
 /  / 男日狮 月 狮金处 升羊 是 怎样 的 性格 。	喜欢 自己 ， 而且 很 随和 。
 /  / 摩羯男 日 摩羯 月 天蝎 金 摩羯 升 狮子 就 想 问 是不是 个 奇葩 。	他 其实 还 不错 。
 /  / 我 天蝎女 ， 我 感觉 自己 好 花痴 ， 遇见 喜欢 的 人 ， 就 会 想 “ 骚扰 ” 他 … … 对 我 很 有 吸引力 ， 但	你 去 他 吧 。
 /  / 金牛男 和 狮子女 本人 女 。	你 觉得 他 很 好 ， 而且 会 让 对方 更 少 。
 /  / 金牛女 真的 很能 吃 么 。	喜欢 暧昧 ， 不过 不 知道 你 俩 的 感觉 还 不错 。
 /  / 露珠 白羊女 ex 心里 没 放下 你 ， 会 来 挽回 吗 ？ ？ 背景 是 我 也 没 放下 。 。 。	你 不 知道 ， 对 他 不够 喜欢 跟 他 说 清楚 。
 /  / 金牛女 求 解答 。	爱 自由 ， 别 听 。
 /  / 巨蟹女 想 追 处女男 合适 吗 ？	不 合适 。
 /  / 那 就 色诱 吧 。	不 甘心 啊 ， 具体 一点 会 突然 就 来 找 你 了 。
 /  / 弱 ？ ？ ？ 强势 的 不得了 ， 狮子会 喜欢 强势 的 还是 喜欢 被 保护 的 ？	你 的 ， 他 就 不 知道 。
 / 给你个 玫瑰 能美死 你 。 / 喜欢 天秤男 怎么 破 。	你 就 跟 他 玩 呗 。
 /  / 已 删 。	你 说 他 是 个 摩羯 或者 我 的 意思 ？
 /  / 太阳 天蝎 上升 狮子 月亮 双子 是不是 听 。 起 。 来 就 很 可 。 怕 ？	你 就 大胆 的 干 啥 ， 然后 对 他 有 好感 。
 /  / 天蝎男 和 天蝎女 求答 。	还 行 。
 /  / 大概 有 你 敏感 的 成分 ， 当然 他 也 有 原因 如果 他 说 没 感觉 那 就 好聚好散 吧 ， 也许 哪天 想 起来 还是 你好 ，	他 对 我 很 好 ， 谢谢 。
 /  / 他 都 没 给 我 花过 钱 哭哭 。	你 这 就是 看 上 了 ， 那 你 俩 去 找 他 的 时候 再 来 一次 呗 。
 /  / 那有 什么 打算 ， 好气 哦 。	你 要 帮 我 说 ， 太阳 狮子 月亮 天秤 。
 /  / 哪 方面 。	双子男 。
 /  / 缺点 就是 洗澡 洗 很 久 。	噗 ！ 你 要 不能 表白 一点 么 ， 看看 我 没 。
 /  / 运势 不 知道 ， 狮子女 最近 因为 过年 可能 吃 的 比较 胖 。	为什么 ？
 /  / 天蝎 ， 不过 得 是 真心 对待 你 的 ， 这个 需要 考察 。	太阳 月亮 天蝎 上升 巨蟹 … 我 不是 事儿 奇葩 么 … 。
 /  / 狮子女 水瓶男 ， 瓶子 比 我 大 五岁 。	不 ， 你 就是 他 的 小 脾气 。
 /  / 女 射手 上升 狮子座 我 还行 吗 ？ 有救 吗 ？ 还 。	你 觉得 他 不 说 你 的 那个 是 个 有趣 的 人 。
 /  / 主动 ， 不害羞 。	为什么 不 喜欢 ？
 /  / 等 你 会 打扮 的 时候 。	你 说 的 是 ， 我 也 觉得 。
 /  / 女 ： 太阳 狮子 上升 天平 月 双子 男 ： 太阳 ? 月亮 不详 上升 射手 。	你 太 认真 了 。
 /  / 现在 冷静 了 几天 在 想 对策 你 有 好 的 建议 吗 ？ 我 是 直接 打电话 给 他 叫 他 出来 吃饭 当 什么 都 没 发生 。	你 的 那个 几个 ， 不要 太 冲动 啊 。
 /  / 哈哈 我 也 会 想起 就点 开看 就是 看得 你 过 得 好不好 看 你 过 得 不好 我 就 安心 了 … 。	他 其实 还 挺 像 的 ， 所以 你 有 关系 啊 。
 /  / 上升 星座 就是 你 出生 时正 处在 上升 态势 的 星座 ， 可能 影响 你 的 性格 发展 方向 。	你 自己 这么 什么 ， 我 就 知道 他 不 喜欢 。
 /  / 上升 白羊 太阳 摩羯 月亮 水瓶 问 感情 。	爱 洗澡 。
 /  / 胡说八道 … … 我 只会 煮饭 不会 做菜 ， 乱 扔 东西 的 哈哈 。	你 这 是 啥 ， 找 他 的 表现 不是 特别 高 。
 /  / 摩羯女 双鱼男 ， 异地 。 求 解析 。	不 看好 。
 /  / 这话 是 告诉 你 去 吃 虾 条 。	你 这 头像 太 多 说 我们 在 一起 一年 的 时候 也 很 难 。
 /  / 慢慢来 ， 别着急 ， 但是 希望 不 大 。	我 是 说 的 。
 /  / 那 就 献身 呗 。	他 说 你 什么 意思 我 也 得 主动 点 。
 /  / 不是 额 ， 天蝎女 会 恋爱 。	看 你 身材 。
