""
cakechat_v1.3_processed_dialogs_gru_hd512_cdim128_drop0.2_encd2_decd2_il30_cs3_ansl32_lr1.0_gc5.0_learnemb
"commit hash: b2dbed5
"
date: 2018-08-31_l15:25
40 maximum tokens in the response
Current perplexity: 18995.75
"Batch iteration number 2500
Total elapsed time: 0:33:25
Elapsed time for a batch: 0:00:00
Estimated time for a full dataset pass: 0:00:49
"
contexts	sampling
 /  / 一个 老 _unk_ 就 不 应该 欺负 啦 。 他 家里 _unk_ 老人 吗	你 有 一点 要 淡定 ， 他 的 好 让 他 做 一件 很 重要 。
 /  / 不 _unk_ 啊	你 确定 关系 的 时候 也 比较 强 ， 所以 就是 有点 自私 。
 /  / 不 带 我 去 啊	你 的 意思 是 ， 要 让 他 回来 ， 又 想 不 主动 了 。
 /  / 不要 风 要 _unk_ 啊 ！	你 的 ， 就是 个 信号 隐私 的 方法 ， 不要 太 在意 了 。
 /  / _unk_ _unk_ 哈哈 ！ _unk_ _unk_	你 会 觉得 他 有 好感 ， 但是 也 不会 说 了 。
 /  / _unk_ 爸 _unk_ 了	你 的 意思 是 ， 你 想 办法 让 他 把 你 当做 点 的 时候 。
 /  / 互 _unk_ 下 呗	你 能 把 我 当回事 ， 两个 人 。
 /  / 亲 ， 留给 美美 买 个 _unk_ 吧	你 说 的 就是 看 了 ， 我 也 觉得 。
 /  / 什么 情况 这 是 _unk_ _unk_ 啊 哈哈 太 受 欢迎 了	你 的 虐 他 了 。
 /  / 什么 活动 ？	你 要 不能 太 多 。
 /  / _unk_ 再 做 个 梦 _unk_ 就 回来 了 ， 哈哈	你 说 的 就是 个 好 ！
 /  / 会 讲 _unk_ ， 是 因为 _unk_ 的 _unk_ 很 _unk_ 么 ？	对 ， 双鱼 不会 也 挺 被动 的 。
 /  / 你 也 打算 弄 一 _unk_ 穿 吗 ？	不 大 。
 /  / 你们 两 个 借 个 噶 恩爱 的 啦 哈哈 哈	你 这 也 对 我 爱 的 人 是不是 有 好感 的 ， 所以 要 让 他 感觉 好 姑娘 。
 /  / 你 俩 这 是 干嘛 啊 ？ 这么 可爱 ！ 哈哈	你 的 这个 星座 就是 用 经验 或者 不能 打 啦 。
 /  / 你 可知 _unk_ _unk_ ， _unk_ 谈 调 服 ， _unk_ 谈 _unk_ ？	你 说 的 就是 个 逗 比 ， 长 的 时候 也 可能 是 一种 感觉 。
 /  / 你 太 爽 了 。	我 是 说 你 的 意思 吗 ？ ？
 /  / 你 就 不能 选择 研究 生 时候 的 舍友 ？	不 知道 怎么 让 我 感觉 。
 /  / 你 是 基本 崩溃 ， 我 是 彻底 崩溃 ！	你 这 也 是 les 啊 ， 但是 一旦 开始 就 那样 了 … 。
 /  / 你 烧 _unk_ 了 吗	你 说 的 看 了 我 在 一起 吃 东西 都 有 啥 区别 ? ? ? ? ? ? 。
 /  / 你 的 _unk_ 绝对 是 _unk_ 的 ， 一 _unk_ 读 不 完	哈哈 ， 我 在 厕所 了 么 。
 /  / 你 那么 瘦 ~ 用 减 吗 ？ ~	不 懂 。
 /  / 假 面 … 我 选择 去 _unk_	你 还 以为 ， 你 吃 点 。
 /  / 全部 是 工作 呀 ， 除了 _unk_ _unk_ 和 _unk_ 是 公司 旅游	你 高冷 的 吧 ， 他 不想 把 自己 搞 的 东西 去 了 。
 /  / _unk_ 了 吗 ？ ？	可以 的 。
 /  / 别 想 太多 了 。 昨天 早上 问 你 也 不 回答 我	你 的 我 就 觉得 他 不够 喜欢 你 啊 。
 /  / _unk_ _unk_ ， 扶持 傀儡 ， 维持 现状 。	你 说 的 就是 太 懂 了 ， 露珠 这 头像 就 觉得 我 可是 。
 /  / 又 一个 挖 _unk_ 屎 的 ！ 刚 打算 歇 一 下 。	你 太 主动 了 。
 /  / 又 话 早 _unk_ ， 点 _unk_ _unk_ 水	如果 你 有 故事 的 人 。
 /  / 发生 什么 了 又 . . .	你 说 的 就是 看 了 ， 他 喜欢 我 都 想 让 你 问 问题 。
 /  / 变 瘦 了 ？	恩 。
 /  / 后来 呢 ？	我 不是 说 你 是 处女座 的 呀 这个 回答 看到 了 ！ ！ 就是 让 他 爱 你 。
 /  / 周末 出去 ， 让 所有 男生 照 此 表演	我 也 想 弄 得 让 他 爱 上 ， 然后 呢 ？
 /  / 呵呵 没事 你们 加油 喔 一定 可以 的	嗯 … 你 这 回答 问题 ！ ！
 /  / 呵呵 ， 好 吧	你 是 个 女 的 就 好 ， 最近 我要 找 不到 么 ？
 /  / 哈 … 看着 自己 _unk_ 不 …	你 就 不能 太 认真 啦 。
 /  / 哈哈 再 坏 了 就 不 _unk_ 了 ！	你 的 问题 是 啥 了 ， 别 墨迹 啦 。
 /  / 哈哈 ， _unk_	你 就 走 了 。
 /  / 哦 ？ 恭喜 你 ！	你 说 的 我 还 不 懂 。
